latitude,longitude,name,desc,color,source,precision
41.712032,-71.127697,"1620 President Avenue, Fall River, MA 02720","1620 President Ave, Fall River, Bristol, MA, US",,MapQuest,address
41.674203,-71.161677,"245 William S. Canning Blvd, Fall River, MA 02721","245 William S Canning Blvd, Fall River, Bristol, MA, US",,MapQuest,address
41.679536,-71.167691,"20 Star Street, Fall River, MA 02724","20 Star St, Fall River, Bristol, MA, US",,MapQuest,address
41.694398,-71.151273,"501 Rodman Street, Fall River, MA 02721","501 Rodman St, Fall River, Bristol, MA, US",,MapQuest,address
41.695706,-71.15185,"369 Plymouth Ave., Fall River, MA 02721","369 Plymouth Ave, Fall River, Bristol, MA, US",,MapQuest,address
41.560553,-70.599338,"105 Davis Straits, Falmouth, MA 02540","105 Davis Straits, Falmouth, Barnstable, MA, US",,MapQuest,address
42.067303,-72.674719,"1282 Springfield Street, Feeding Hills, MA 01030","1282 Springfield St, Feeding Hills, Hampden, MA, US",,MapQuest,address
42.581795,-71.793991,"161 Main St, Fitchburg, MA 01420","161 Main St, Fitchburg, Worcester, MA, US",,MapQuest,address
42.579854,-71.809066,"57 Rollstone Rd, Park Hill Plaza, Fitchburg, MA 01420","Fitchburg, Worcester County, MA, US",,MapQuest,postcode
42.09381,-71.2658,"1 Patriot Place, Parking Lot 22, Foxborough, MA 02035","1 Patriot Place, Foxborough, MA, US",,MapQuest,address
42.563693,-72.020667,"171 Kendall Pond Rd W, Gardner, MA 01440","171 Kendall Pond Rd W, Gardner, Worcester, MA, US",,MapQuest,address
42.568197,-71.985081,"560 Main St, Gardner, MA 01440","560 Main St, Gardner, Worcester, MA, US",,MapQuest,address
42.57136,-71.994132,"232 Main St, Gardner, MA 01440","232 Main St, Gardner, Worcester, MA, US",,MapQuest,address
42.21089,-73.345512,"300 Stockbridge Rd, Great Barrington, MA 01230","300 Stockbridge Rd, Great Barrington, Berkshire, MA, US",,MapQuest,address
42.24571,-73.329613,"313 Monument Valley Rd, Great Barrington, MA 01230","313 Monument Valley Rd, Great Barrington, Berkshire, MA, US",,MapQuest,address
42.595606,-72.591287,"164 High St, Greenfield, MA 01301","164 High St, Greenfield, Franklin, MA, US",,MapQuest,address
